grain,level,horizon_days,quantile,feature,importance
Pmax,campaign_type,30,0.9,dow_Wednesday,0.0621
Pmax,campaign_type,60,0.1,spend,348.8937
Pmax,campaign_type,60,0.1,spend_lag_1,1230.1204
Pmax,campaign_type,60,0.1,spend_lag_7,-105.468
Pmax,campaign_type,60,0.1,spend_lag_14,178.1922
Pmax,campaign_type,60,0.1,spend_rolling_mean_7d,-43.5503
Pmax,campaign_type,60,0.1,spend_rolling_mean_14d,81.7388
Pmax,campaign_type,60,0.1,spend_rolling_mean_30d,-112.8646
Pmax,campaign_type,60,0.1,revenue_rolling_mean_7d,-87.6187
Pmax,campaign_type,60,0.1,revenue_rolling_mean_14d,-115.5662
Pmax,campaign_type,60,0.1,revenue_rolling_mean_30d,-37.8874
Pmax,campaign_type,60,0.1,spend_share_of_total,-76.4036
Pmax,campaign_type,60,0.1,days_since_start,0.0
Pmax,campaign_type,60,0.1,month_sin,0.0
Pmax,campaign_type,60,0.1,month_cos,0.0
Pmax,campaign_type,60,0.1,dayofmonth_sin,-94.7546
Pmax,campaign_type,60,0.1,dayofmonth_cos,31.5957
Pmax,campaign_type,60,0.1,is_weekend,-8.9503
Pmax,campaign_type,60,0.1,target_spend_60d,10857.3086
Pmax,campaign_type,60,0.1,dow_Monday,1.4496
Pmax,campaign_type,60,0.1,dow_Saturday,1.7532
Pmax,campaign_type,60,0.1,dow_Sunday,-4.7274
Pmax,campaign_type,60,0.1,dow_Thursday,0.7685
Pmax,campaign_type,60,0.1,dow_Tuesday,0.7019
Pmax,campaign_type,60,0.1,dow_Wednesday,-4.8106
Pmax,campaign_type,60,0.5,spend,-1398.3062
Pmax,campaign_type,60,0.5,spend_lag_1,-1024.97
Pmax,campaign_type,60,0.5,spend_lag_7,-592.0677
Pmax,campaign_type,60,0.5,spend_lag_14,-251.6674
Pmax,campaign_type,60,0.5,spend_rolling_mean_7d,93.3444
Pmax,campaign_type,60,0.5,spend_rolling_mean_14d,696.3027
Pmax,campaign_type,60,0.5,spend_rolling_mean_30d,-82.9223
Pmax,campaign_type,60,0.5,revenue_rolling_mean_7d,53.8544
Pmax,campaign_type,60,0.5,revenue_rolling_mean_14d,-273.2713
Pmax,campaign_type,60,0.5,revenue_rolling_mean_30d,-21.6927
Pmax,campaign_type,60,0.5,spend_share_of_total,55.0664
Pmax,campaign_type,60,0.5,days_since_start,0.0
Pmax,campaign_type,60,0.5,month_sin,0.0
Pmax,campaign_type,60,0.5,month_cos,0.0
Pmax,campaign_type,60,0.5,dayofmonth_sin,-25.2551
Pmax,campaign_type,60,0.5,dayofmonth_cos,19.8982
Pmax,campaign_type,60,0.5,is_weekend,2.3659
Pmax,campaign_type,60,0.5,target_spend_60d,14429.9754
Pmax,campaign_type,60,0.5,dow_Monday,-1.9163
Pmax,campaign_type,60,0.5,dow_Saturday,-0.685
Pmax,campaign_type,60,0.5,dow_Sunday,-0.5819
Pmax,campaign_type,60,0.5,dow_Thursday,0.2883
Pmax,campaign_type,60,0.5,dow_Tuesday,-11.9375
Pmax,campaign_type,60,0.5,dow_Wednesday,-5.6523
Pmax,campaign_type,60,0.9,spend,-77.3304
Pmax,campaign_type,60,0.9,spend_lag_1,242.3637
Pmax,campaign_type,60,0.9,spend_lag_7,-92.4178
